address;rssi
f9:b3:b2:3d:53:a5;-60
fc:02:a0:fa:33:19;-58
d1:0b:14:b3:18:6a;-57
f1:96:cd:ee:25:bd;-52
ef:86:35:dd:c3:f7;-57
f7:9c:08:9a:42:ed;-67
e3:6f:28:36:5a:db;-57
d1:0b:14:b3:18:6a;-66
f7:9c:08:9a:42:ed;-69
e3:6f:28:36:5a:db;-60
f9:b3:b2:3d:53:a5;-56
fc:02:a0:fa:33:19;-63
ef:86:35:dd:c3:f7;-57
d5:b1:89:8b:b8:c5;-61
f1:96:cd:ee:25:bd;-51
fc:02:a0:fa:33:19;-57
f1:96:cd:ee:25:bd;-35
ef:86:35:dd:c3:f7;-53
f7:9c:08:9a:42:ed;-69
e3:6f:28:36:5a:db;-56
d5:b1:89:8b:b8:c5;-57
d1:0b:14:b3:18:6a;-58
f9:b3:b2:3d:53:a5;-56
f1:96:cd:ee:25:bd;-52
d1:0b:14:b3:18:6a;-57
f7:9c:08:9a:42:ed;-67
f9:b3:b2:3d:53:a5;-55
ef:86:35:dd:c3:f7;-55
d5:b1:89:8b:b8:c5;-54
e3:6f:28:36:5a:db;-50
fc:02:a0:fa:33:19;-65
ef:86:35:dd:c3:f7;-52
fc:02:a0:fa:33:19;-64
f7:9c:08:9a:42:ed;-61
e3:6f:28:36:5a:db;-59
d5:b1:89:8b:b8:c5;-60
d1:0b:14:b3:18:6a;-63
f1:96:cd:ee:25:bd;-50
f1:96:cd:ee:25:bd;-55
f7:9c:08:9a:42:ed;-61
e3:6f:28:36:5a:db;-56
f9:b3:b2:3d:53:a5;-61
fc:02:a0:fa:33:19;-65
d1:0b:14:b3:18:6a;-63
ef:86:35:dd:c3:f7;-52
e2:51:e0:31:ee:0e;-55
d5:b1:89:8b:b8:c5;-60
d1:0b:14:b3:18:6a;-62
fc:02:a0:fa:33:19;-55
f1:96:cd:ee:25:bd;-51
e3:6f:28:36:5a:db;-50
f7:9c:08:9a:42:ed;-67
f9:b3:b2:3d:53:a5;-61
e2:51:e0:31:ee:0e;-67
ef:86:35:dd:c3:f7;-53
f7:9c:08:9a:42:ed;-67
f9:b3:b2:3d:53:a5;-56
f1:96:cd:ee:25:bd;-53
e2:51:e0:31:ee:0e;-52
ef:86:35:dd:c3:f7;-54
fc:02:a0:fa:33:19;-57
e3:6f:28:36:5a:db;-59
d1:0b:14:b3:18:6a;-63
d5:b1:89:8b:b8:c5;-60
d1:0b:14:b3:18:6a;-63
f1:96:cd:ee:25:bd;-56
f7:9c:08:9a:42:ed;-69
e2:51:e0:31:ee:0e;-52
e3:6f:28:36:5a:db;-59
f9:b3:b2:3d:53:a5;-61
fc:02:a0:fa:33:19;-57
e3:6f:28:36:5a:db;-59
f9:b3:b2:3d:53:a5;-56
fc:02:a0:fa:33:19;-56
d1:0b:14:b3:18:6a;-58
e2:51:e0:31:ee:0e;-51
ef:86:35:dd:c3:f7;-41
f1:96:cd:ee:25:bd;-35
f7:9c:08:9a:42:ed;-69
fc:02:a0:fa:33:19;-57
d1:0b:14:b3:18:6a;-62
f1:96:cd:ee:25:bd;-53
f7:9c:08:9a:42:ed;-65
e2:51:e0:31:ee:0e;-57
e3:6f:28:36:5a:db;-58
ef:86:35:dd:c3:f7;-55
d5:b1:89:8b:b8:c5;-60
f9:b3:b2:3d:53:a5;-60
fc:02:a0:fa:33:19;-66
e2:51:e0:31:ee:0e;-57
ef:86:35:dd:c3:f7;-53
f1:96:cd:ee:25:bd;-51
f7:9c:08:9a:42:ed;-67
d5:b1:89:8b:b8:c5;-60
d1:0b:14:b3:18:6a;-57
e3:6f:28:36:5a:db;-56
fc:02:a0:fa:33:19;-56
f1:96:cd:ee:25:bd;-53
e2:51:e0:31:ee:0e;-51
f7:9c:08:9a:42:ed;-65
e3:6f:28:36:5a:db;-50
f9:b3:b2:3d:53:a5;-61
ef:86:35:dd:c3:f7;-54
d1:0b:14:b3:18:6a;-55
f1:96:cd:ee:25:bd;-52
fc:02:a0:fa:33:19;-66
f7:9c:08:9a:42:ed;-61
e2:51:e0:31:ee:0e;-52
e3:6f:28:36:5a:db;-58
d5:b1:89:8b:b8:c5;-57
d1:0b:14:b3:18:6a;-63
ef:86:35:dd:c3:f7;-54
d1:0b:14:b3:18:6a;-57
f7:9c:08:9a:42:ed;-69
e2:51:e0:31:ee:0e;-49
e3:6f:28:36:5a:db;-50
f9:b3:b2:3d:53:a5;-56
ef:86:35:dd:c3:f7;-53
d5:b1:89:8b:b8:c5;-58
fc:02:a0:fa:33:19;-56
f1:96:cd:ee:25:bd;-56
e2:51:e0:31:ee:0e;-52
e3:6f:28:36:5a:db;-59
fc:02:a0:fa:33:19;-65
d1:0b:14:b3:18:6a;-63
f1:96:cd:ee:25:bd;-51
ef:86:35:dd:c3:f7;-57
f9:b3:b2:3d:53:a5;-55
e3:6f:28:36:5a:db;-50
ef:86:35:dd:c3:f7;-54
