address;rssi
e3:6f:28:36:5a:db;-49
d1:0b:14:b3:18:6a;-68
ef:86:35:dd:c3:f7;-78
f9:b3:b2:3d:53:a5;-67
fc:02:a0:fa:33:19;-64
f7:9c:08:9a:42:ed;-77
f1:96:cd:ee:25:bd;-76
f7:9c:08:9a:42:ed;-82
f1:96:cd:ee:25:bd;-76
e3:6f:28:36:5a:db;-65
ef:86:35:dd:c3:f7;-67
f9:b3:b2:3d:53:a5;-68
fc:02:a0:fa:33:19;-68
d1:0b:14:b3:18:6a;-67
e3:6f:28:36:5a:db;-55
d1:0b:14:b3:18:6a;-63
ef:86:35:dd:c3:f7;-68
f9:b3:b2:3d:53:a5;-51
fc:02:a0:fa:33:19;-48
d5:b1:89:8b:b8:c5;-55
f7:9c:08:9a:42:ed;-67
f1:96:cd:ee:25:bd;-76
fc:02:a0:fa:33:19;-68
e3:6f:28:36:5a:db;-63
d1:0b:14:b3:18:6a;-63
ef:86:35:dd:c3:f7;-68
f9:b3:b2:3d:53:a5;-51
f7:9c:08:9a:42:ed;-83
f1:96:cd:ee:25:bd;-66
ef:86:35:dd:c3:f7;-67
d1:0b:14:b3:18:6a;-67
f9:b3:b2:3d:53:a5;-66
e3:6f:28:36:5a:db;-68
f7:9c:08:9a:42:ed;-83
d5:b1:89:8b:b8:c5;-69
fc:02:a0:fa:33:19;-70
d1:0b:14:b3:18:6a;-48
f1:96:cd:ee:25:bd;-66
d5:b1:89:8b:b8:c5;-53
f9:b3:b2:3d:53:a5;-51
fc:02:a0:fa:33:19;-52
e3:6f:28:36:5a:db;-67
f7:9c:08:9a:42:ed;-68
f9:b3:b2:3d:53:a5;-56
d1:0b:14:b3:18:6a;-49
fc:02:a0:fa:33:19;-54
f7:9c:08:9a:42:ed;-85
f1:96:cd:ee:25:bd;-69
d5:b1:89:8b:b8:c5;-70
e3:6f:28:36:5a:db;-76
f1:96:cd:ee:25:bd;-70
d5:b1:89:8b:b8:c5;-67
e3:6f:28:36:5a:db;-54
f7:9c:08:9a:42:ed;-82
d1:0b:14:b3:18:6a;-65
fc:02:a0:fa:33:19;-68
fc:02:a0:fa:33:19;-55
e3:6f:28:36:5a:db;-78
f7:9c:08:9a:42:ed;-73
f1:96:cd:ee:25:bd;-67
d1:0b:14:b3:18:6a;-64
d5:b1:89:8b:b8:c5;-70
f9:b3:b2:3d:53:a5;-66
fc:02:a0:fa:33:19;-64
e3:6f:28:36:5a:db;-65
f1:96:cd:ee:25:bd;-77
ef:86:35:dd:c3:f7;-68
d1:0b:14:b3:18:6a;-68
f9:b3:b2:3d:53:a5;-66
d5:b1:89:8b:b8:c5;-70
e3:6f:28:36:5a:db;-64
fc:02:a0:fa:33:19;-66
f7:9c:08:9a:42:ed;-83
f1:96:cd:ee:25:bd;-66
d1:0b:14:b3:18:6a;-54
d5:b1:89:8b:b8:c5;-70
e2:51:e0:31:ee:0e;-61
ef:86:35:dd:c3:f7;-67
f9:b3:b2:3d:53:a5;-68
f7:9c:08:9a:42:ed;-69
e3:6f:28:36:5a:db;-63
e2:51:e0:31:ee:0e;-62
f1:96:cd:ee:25:bd;-66
ef:86:35:dd:c3:f7;-68
d1:0b:14:b3:18:6a;-64
f9:b3:b2:3d:53:a5;-53
fc:02:a0:fa:33:19;-70
d5:b1:89:8b:b8:c5;-56
e2:51:e0:31:ee:0e;-66
d1:0b:14:b3:18:6a;-68
f1:96:cd:ee:25:bd;-65
fc:02:a0:fa:33:19;-68
e3:6f:28:36:5a:db;-63
f7:9c:08:9a:42:ed;-79
e2:51:e0:31:ee:0e;-47
ef:86:35:dd:c3:f7;-66
f1:96:cd:ee:25:bd;-71
d1:0b:14:b3:18:6a;-48
fc:02:a0:fa:33:19;-70
e3:6f:28:36:5a:db;-65
f7:9c:08:9a:42:ed;-84
d5:b1:89:8b:b8:c5;-68
f9:b3:b2:3d:53:a5;-68
f1:96:cd:ee:25:bd;-66
d1:0b:14:b3:18:6a;-68
d5:b1:89:8b:b8:c5;-70
fc:02:a0:fa:33:19;-64
e3:6f:28:36:5a:db;-64
f7:9c:08:9a:42:ed;-93
f9:b3:b2:3d:53:a5;-67
e2:51:e0:31:ee:0e;-62
f1:96:cd:ee:25:bd;-70
d1:0b:14:b3:18:6a;-54
e3:6f:28:36:5a:db;-65
fc:02:a0:fa:33:19;-54
e2:51:e0:31:ee:0e;-66
d5:b1:89:8b:b8:c5;-70
f7:9c:08:9a:42:ed;-83
ef:86:35:dd:c3:f7;-80
f9:b3:b2:3d:53:a5;-67
d5:b1:89:8b:b8:c5;-70
f1:96:cd:ee:25:bd;-78
fc:02:a0:fa:33:19;-71
e3:6f:28:36:5a:db;-68
e2:51:e0:31:ee:0e;-67
f7:9c:08:9a:42:ed;-70
ef:86:35:dd:c3:f7;-68
d1:0b:14:b3:18:6a;-64
f9:b3:b2:3d:53:a5;-68
fc:02:a0:fa:33:19;-64
