address,rssi,dist,battery,txPower,interval,roll
ef:86:35:dd:c3:f7,-57,50,69,6,500,-51.13042344034644
e3:6f:28:36:5a:db,-52,50,43,6,500,-51.14685190391763
d1:0b:14:b3:18:6a,-57,50,43,6,500,-51.57412298371449
d5:b1:89:8b:b8:c5,-41,50,67,6,500,-51.37746651262519
e2:51:e0:31:ee:0e,-47,50,20,6,500,-51.37779324332754
fc:02:a0:fa:33:19,-47,50,44,6,500,-51.16456215720665
f7:9c:08:9a:42:ed,-59,50,50,6,500,-51.295578343422406
f1:96:cd:ee:25:bd,-56,50,47,6,500,-51.19688423630626
f9:b3:b2:3d:53:a5,-47,50,72,6,500,-51.21366374169927
f1:96:cd:ee:25:bd,-52,50,47,6,500,-51.26301159002558
e3:6f:28:36:5a:db,-52,50,43,6,500,-51.18090922376608
e2:51:e0:31:ee:0e,-34,50,20,6,500,-50.721603935188845
fc:02:a0:fa:33:19,-48,50,44,6,500,-50.77115189759599
ef:86:35:dd:c3:f7,-56,50,69,6,500,-50.75452517266732
f9:b3:b2:3d:53:a5,-47,50,72,6,500,-50.6562073100415
d5:b1:89:8b:b8:c5,-30,50,67,6,500,-50.44326125953859
f7:9c:08:9a:42:ed,-47,50,50,6,500,-50.13169121526673
d1:0b:14:b3:18:6a,-43,50,43,6,500,-49.85290684496596
d5:b1:89:8b:b8:c5,-29,50,67,6,500,-49.63994333856094
e2:51:e0:31:ee:0e,-48,50,20,6,500,-49.57439935781324
fc:02:a0:fa:33:19,-38,50,44,6,500,-49.24644667687199
f7:9c:08:9a:42:ed,-48,50,50,6,500,-49.262995817610914
f1:96:cd:ee:25:bd,-53,50,47,6,500,-49.08254215010492
e3:6f:28:36:5a:db,-52,50,43,6,500,-48.96764434557716
d1:0b:14:b3:18:6a,-57,50,43,6,500,-49.14798324118697
ef:86:35:dd:c3:f7,-50,50,69,6,500,-49.29593726356147
f9:b3:b2:3d:53:a5,-44,50,72,6,500,-49.16483110752132
f7:9c:08:9a:42:ed,-62,50,50,6,500,-49.410519895221626
e2:51:e0:31:ee:0e,-44,50,20,6,500,-49.312252999585816
f1:96:cd:ee:25:bd,-61,50,47,6,500,-49.377464808371215
e3:6f:28:36:5a:db,-53,50,43,6,500,-49.47591478996481
d1:0b:14:b3:18:6a,-61,50,43,6,500,-49.39355622954457
fc:02:a0:fa:33:19,-54,50,44,6,500,-49.57409787429776
ef:86:35:dd:c3:f7,-51,50,69,6,500,-49.508431484751966
d5:b1:89:8b:b8:c5,-43,50,67,6,500,-49.19682847372243
f7:9c:08:9a:42:ed,-48,50,50,6,500,-48.983523377255345
fc:02:a0:fa:33:19,-54,50,44,6,500,-49.01617114689639
f1:96:cd:ee:25:bd,-53,50,47,6,500,-49.114580260132456
ef:86:35:dd:c3:f7,-50,50,69,6,500,-48.91756553975125
f9:b3:b2:3d:53:a5,-47,50,72,6,500,-48.91770905096304
e3:6f:28:36:5a:db,-52,50,43,6,500,-49.03260642415061
d1:0b:14:b3:18:6a,-45,50,43,6,500,-48.91785292246396
e2:51:e0:31:ee:0e,-46,50,20,6,500,-49.0002709540244
d5:b1:89:8b:b8:c5,-46,50,67,6,500,-48.93475980741871
